name,level,score,count,chapters,firstChapter,lastChapter,regionLabel,aliases,contextSample
元莲仙尊,confirmed,314.6,343,58,171,2364,中洲,元莲 / 元莲仙尊 / 是元莲仙尊 / 是元莲 / 乃是元莲仙尊 / 就是元莲仙尊 / 愧是元莲仙尊 / 源自元莲仙尊 / 由元莲仙尊 / 又是元莲仙尊 / 子和元莲仙尊 / 就是元莲 / 当初元莲仙尊 / 是由元莲仙尊 / 源于元莲仙尊 / 看到元莲仙尊 / 竟是元莲仙尊 / 经过元莲仙尊 / 比如元莲仙尊 / 三位元莲仙尊 / 主人元莲仙尊 / 么元莲仙尊 / 乎和元莲仙尊 / 也是元莲仙尊 / 了元莲仙尊 / 了和元莲仙尊 / 于是元莲仙尊 / 仙王元莲仙尊 / 你是元莲仙尊 / 借助元莲仙尊 / 借给元莲仙尊 / 元莲的木 / 关元莲仙尊 / 再到元莲仙尊 / 出是元莲仙尊 / 则是元莲仙尊 / 到了元莲仙尊 / 原来元莲仙尊 / 发了元莲仙尊 / 可是元莲仙尊 / 在元莲 / 在元莲仙尊 / 坏了元莲仙尊 / 坏在元莲仙尊 / 天庭元莲仙尊 / 她和元莲仙尊 / 它和元莲仙尊 / 它的元莲仙尊 / 崇拜元莲仙尊 / 已和元莲仙尊 / 已知元莲仙尊 / 年的元莲仙尊 / 底是元莲仙尊 / 庭的元莲仙尊 / 当初元莲 / 得的元莲仙尊 / 悉了元莲仙尊 / 想到元莲仙尊 / 想起元莲仙尊 / 扯到元莲仙尊 / 承了元莲仙尊 / 招和元莲仙尊 / 招的元莲仙尊 / 掉了元莲仙尊 / 接被元莲仙尊 / 是在元莲仙尊 / 是当初元莲 / 是有元莲仙尊 / 是源自元莲 / 是被元莲仙尊 / 更是元莲仙尊 / 望着元莲仙尊 / 本是元莲仙尊 / 正是元莲仙尊 / 死于元莲仙尊 / 源自元莲 / 然和元莲仙尊 / 现了元莲仙尊 / 现出元莲仙尊 / 用了元莲仙尊 / 留着元莲仙尊 / 的元莲仙尊 / 的是元莲仙尊 / 直被元莲仙尊 / 着元莲仙尊 / 确是元莲仙尊 / 竟被元莲仙尊 / 经被元莲仙尊 / 继承元莲仙尊 / 自于元莲仙尊 / 藏有元莲仙尊 / 蛊的元莲仙尊 / 要求元莲仙尊 / 觊觎元莲仙尊 / 说中元莲仙尊 / 起了元莲仙尊 / 起元莲仙尊 / 还有元莲仙尊 / 追随元莲仙尊 / 道被元莲仙尊 / 除了元莲仙尊 / 面对元莲仙尊 / 鼎的元莲仙尊,元宝莲。这天元宝莲来头甚大，其合炼的秘方，是由一位数千年前的正道蛊师——元莲仙尊所创。天元宝莲本身，只是三转花蛊。但是往后晋升，成为六转的天元宝皇莲
乐土仙尊,confirmed,314.6,549,85,471,2356,南疆,乐土 / 乐土仙尊 / 是乐土仙尊 / 是乐土 / 乃是乐土仙尊 / 受到乐土仙尊 / 也是乐土仙尊 / 难道乐土仙尊 / 就是乐土仙尊 / 师承乐土仙尊 / 当初乐土仙尊 / 他对乐土仙尊 / 到了乐土仙尊 / 当年乐土 / 当年乐土仙尊 / 得到乐土仙尊 / 是被乐土仙尊 / 今乐土仙尊 / 以为乐土仙尊 / 位是乐土仙尊 / 便是乐土仙尊 / 又有乐土仙尊 / 帮助乐土仙尊 / 当初乐土 / 愧是乐土仙尊 / 既然乐土仙尊 / 是在乐土仙尊 / 正是乐土仙尊 / 直至乐土仙尊 / 至于乐土仙尊 / 都是乐土仙尊 / 比如乐土仙尊 / 能在乐土仙尊 / 不上乐土仙尊 / 不住乐土仙尊 / 不到乐土仙尊 / 不定乐土仙尊 / 不惧乐土仙尊 / 不过乐土仙尊 / 个乐土仙尊 / 为有乐土仙尊 / 也被乐土仙尊 / 争的乐土仙尊 / 事关乐土仙尊 / 他和乐土仙尊 / 仙和乐土仙尊 / 以乐土仙尊 / 以及乐土仙尊 / 传闻乐土仙尊 / 位乐土仙尊 / 位被乐土 / 位被乐土仙尊 / 你主乐土仙尊 / 使得乐土仙尊 / 依靠乐土仙尊 / 候的乐土仙尊 / 做乐土呢 / 做乐土啊 / 像是乐土仙尊 / 则是乐土仙尊 / 到了乐土 / 到过乐土仙尊 / 单凭乐土仙尊 / 历了乐土仙尊 / 原来乐土仙尊 / 又是乐土仙尊 / 发现乐土仙尊 / 受过乐土仙尊 / 可是乐土仙尊 / 号称乐土仙尊 / 后来乐土仙尊 / 含着乐土仙尊 / 听闻乐土仙尊 / 和乐土 / 和乐土仙尊 / 在着乐土仙尊 / 够被乐土仙尊 / 她对乐土仙尊 / 子是乐土仙尊 / 它从乐土仙尊 / 它是乐土仙尊 / 察到乐土仙尊 / 就为乐土仙尊 / 就像乐土仙尊 / 就属乐土仙尊 / 就是乐土 / 就连乐土仙尊 / 年被乐土仙尊 / 并非乐土仙尊 / 座乐土仙尊 / 引出乐土仙尊 / 引得乐土仙尊 / 得住乐土仙尊 / 怕是乐土仙尊 / 惟独乐土仙尊 / 感到乐土仙尊 / 慈的乐土仙尊 / 我和乐土仙尊 / 才是乐土仙尊 / 扮演乐土仙尊 / 招惹乐土仙尊 / 招由乐土仙尊 / 排除乐土仙尊 / 接近乐土仙尊 / 握的乐土仙尊 / 揣摩乐土仙尊 / 效仿乐土仙尊 / 敬佩乐土仙尊 / 是乐土的天 / 是以乐土仙尊 / 是和乐土仙尊 / 是当初乐土 / 是被乐土 / 曾是乐土仙尊 / 本是乐土仙尊 / 来是乐土仙尊 / 源自乐土 / 源自乐土仙尊 / 然而乐土仙尊 / 由乐土仙尊 / 留有乐土仙尊 / 白和乐土仙尊 / 相传乐土仙尊 / 相信乐土仙尊 / 看到乐土仙尊 / 看来乐土仙尊 / 破解乐土仙尊 / 碍于乐土仙尊 / 站在乐土仙尊 / 算是乐土仙尊 / 类似乐土仙尊 / 经历乐土仙尊 / 经被乐土仙尊 / 能将乐土仙尊 / 能是乐土仙尊 / 虽然乐土仙尊 / 觉得乐土仙尊 / 解了乐土仙尊 / 让乐土 / 诉他乐土仙尊 / 跟随乐土仙尊 / 转的乐土仙尊 / 还是乐土仙尊 / 违逆乐土仙尊 / 追随乐土仙尊 / 通过乐土仙尊 / 道是乐土仙尊 / 里被乐土仙尊,残喘到巨阳仙尊时代，终于老死。他虽然留下了白荔仙元，但又经历了幽魂魔尊、乐土仙尊两大时代。曾经的琅琊洞天，已经跌落成福地。到现在白荔仙元能有多少？恐
元始仙尊,confirmed,314.6,378,43,615,2365,中洲,元始 / 元始仙尊 / 乃是元始仙尊 / 是元始 / 是元始仙尊 / 复活元始仙尊 / 就是元始仙尊 / 然是元始仙尊 / 长的元始仙尊 / 在元始仙尊 / 可是元始仙尊 / 在元始 / 当年元始仙尊 / 旦元始仙尊 / 曾经元始仙尊 / 知道元始仙尊 / 算是元始仙尊 / 继承元始仙尊 / 还是元始仙尊 / 么元始仙尊 / 乎是元始仙尊 / 了元始仙尊 / 从元始仙尊 / 他被元始仙尊 / 代元始仙尊 / 以元始仙尊 / 份元始仙尊 / 催动元始仙尊 / 出现元始仙尊 / 到了元始仙尊 / 前由元始仙尊 / 发现元始仙尊 / 只要元始仙尊 / 号称元始仙尊 / 向元始仙尊 / 告诉元始仙尊 / 唯有元始仙尊 / 围剿元始仙尊 / 在于元始仙尊 / 她在元始仙尊 / 容的元始仙尊 / 尊的元始仙尊 / 尊者元始仙尊 / 就是元始 / 师父元始仙尊 / 年前元始仙尊 / 年的元始仙尊 / 庭是元始仙尊 / 开启元始仙尊 / 当元始仙尊 / 当年元始 / 待着元始仙尊 / 得到元始仙尊 / 得是元始仙尊 / 惜将元始仙尊 / 想到元始仙尊 / 想给元始仙尊 / 愧是元始仙尊 / 或者元始仙尊 / 抵抗元始仙尊 / 既然元始仙尊 / 早在元始仙尊 / 是对元始仙尊 / 是当年元始 / 是由元始仙尊 / 是让元始仙尊 / 本在元始仙尊 / 来元始仙尊 / 来的元始仙尊 / 果和元始仙尊 / 正是元始仙尊 / 比如元始仙尊 / 溯到元始仙尊 / 生对元始仙尊 / 的如元始仙尊 / 的是元始仙尊 / 直到元始仙尊 / 看到元始仙尊 / 看向元始仙尊 / 看望元始仙尊 / 睹着元始仙尊 / 等到元始仙尊 / 管是元始仙尊 / 经的元始仙尊 / 获得元始仙尊 / 藏着元始仙尊 / 解了元始仙尊 / 质是元始仙尊 / 赞叹元始仙尊 / 足在元始仙尊 / 过和元始仙尊 / 还有元始仙尊 / 追随元始仙尊 / 都在元始仙尊 / 非是元始仙尊,流露出一丝傲然，再次开口：“这话的源头，乃是人族历史上的第一位九转蛊仙，元始仙尊所言。也正是他开创了中洲天庭霸业，一直屹立至今，纵使沧海桑田，万载悠
千变老祖,confirmed,302.6,310,28,1415,2093,西漠,千变老祖 / 让千变老祖 / 乃是千变老祖 / 是千变老祖 / 和千变老祖 / 不管千变老祖 / 也是千变老祖 / 出了千变老祖 / 变成千变老祖 / 在千变老祖 / 对付千变老祖 / 帮助千变老祖 / 还有千变老祖 / 正的千变老祖 / 源和千变老祖 / 真的千变老祖 / 不了千变老祖 / 不受千变老祖 / 两个千变老祖 / 二位千变老祖 / 些千变老祖 / 传出千变老祖 / 位千变老祖 / 依照千变老祖 / 便是千变老祖 / 全了千变老祖 / 关于千变老祖 / 内有千变老祖 / 冲到千变老祖 / 出千变老祖 / 化为千变老祖 / 化的千变老祖 / 发现千变老祖 / 取信千变老祖 / 向了千变老祖 / 向千变老祖 / 听闻千变老祖 / 咬上千变老祖 / 埋伏千变老祖 / 外的千变老祖 / 她是千变老祖 / 对千变老祖 / 就在千变老祖 / 己和千变老祖 / 座千变老祖 / 当初千变老祖 / 当和千变老祖 / 恼了千变老祖 / 惧他千变老祖 / 成为千变老祖 / 我千变老祖 / 把他千变老祖 / 招揽千变老祖 / 招来千变老祖 / 支援千变老祖 / 斩向千变老祖 / 是他千变老祖 / 是被千变老祖 / 暗指千变老祖 / 来到千变老祖 / 次千变老祖 / 次向千变老祖 / 正如千变老祖 / 漠的千变老祖 / 灰的千变老祖 / 现的千变老祖 / 留下千变老祖 / 的千变老祖 / 皆是千变老祖 / 看千变老祖 / 看在千变老祖 / 看得千变老祖 / 着千变老祖 / 知晓千变老祖 / 竟是千变老祖 / 算是千变老祖 / 红将千变老祖 / 绕过千变老祖 / 给了千变老祖 / 缚着千变老祖 / 缠住千变老祖 / 胁比千变老祖 / 背靠千变老祖 / 胖子千变老祖 / 能和千变老祖 / 自称千变老祖 / 获得千变老祖 / 袭击千变老祖 / 要在千变老祖 / 要被千变老祖 / 见到千变老祖 / 识破千变老祖 / 试探千变老祖 / 身旁千变老祖 / 车和千变老祖 / 边千变老祖 / 还是千变老祖 / 都是千变老祖 / 针对千变老祖 / 附着千变老祖 / 靠拢千变老祖 / 靠近千变老祖 / 飞向千变老祖 / 饶是千变老祖 / 驾于千变老祖,，年轻的时候，得到过狂蛮魔尊留下的一部分真传，统共有近千种变化。因此自称千变老祖。他虽然继承魔尊真传，但并非魔道蛊仙，而是西漠最著名的散修。他的个人趣味
长毛老祖,confirmed,298.6,356,55,471,2330,北原,长毛 / 长毛老祖 / 和长毛 / 和长毛老祖 / 乃是长毛老祖 / 源自长毛老祖 / 当初长毛老祖 / 是和长毛老祖 / 源自长毛 / 愧是长毛老祖 / 是当初长毛 / 是长毛 / 是长毛老祖 / 源于长毛老祖 / 只有长毛老祖 / 可是长毛老祖 / 寻求长毛老祖 / 就是长毛老祖 / 底是长毛老祖 / 当初长毛 / 当年长毛 / 当年长毛老祖 / 成了长毛老祖 / 承了长毛老祖 / 是源自长毛 / 毕竟长毛老祖 / 现了长毛老祖 / 经和长毛老祖 / 非长毛老祖 / 不把长毛老祖 / 不过长毛老祖 / 且和长毛老祖 / 为长毛 / 也非长毛老祖 / 了请长毛老祖 / 他是长毛老祖 / 付给长毛老祖 / 仙长毛老祖 / 代的长毛老祖 / 令长毛老祖 / 会在长毛老祖 / 体的长毛老祖 / 作的长毛老祖 / 便和长毛老祖 / 便请长毛老祖 / 傲的长毛老祖 / 八转长毛老祖 / 初的长毛老祖 / 别是长毛老祖 / 力比长毛老祖 / 动用长毛老祖 / 助于长毛老祖 / 去和长毛老祖 / 又请长毛老祖 / 后和长毛老祖 / 后来长毛老祖 / 后请长毛老祖 / 在于长毛老祖 / 地是长毛老祖 / 大叹长毛老祖 / 她和长毛老祖 / 媲美长毛老祖 / 宗师长毛老祖 / 寻找长毛老祖 / 就是长毛 / 年的长毛老祖 / 并非长毛老祖 / 念起长毛老祖 / 想到长毛老祖 / 托过长毛老祖 / 找到长毛老祖 / 旧是长毛老祖 / 昔年长毛老祖 / 是和长毛 / 是由长毛老祖 / 是请长毛老祖 / 来被长毛老祖 / 正是长毛老祖 / 照那长毛老祖 / 由长毛老祖 / 的长毛老祖 / 知晓长毛老祖 / 给了长毛老祖 / 要和长毛老祖 / 要请长毛老祖 / 请过长毛老祖 / 请长毛老祖 / 越了长毛老祖 / 过是长毛老祖 / 还和长毛老祖 / 还是长毛老祖 / 邀请长毛老祖 / 都是长毛老祖 / 难怪长毛老祖 / 非是长毛老祖,福地非同小可，曾经居住在里面的蛊仙，乃是鼎鼎大名的“古往炼道第一仙”——长毛老祖。此人极精于炼道，有八转修为，具有古往今来屈指可数的炼道才华。他寿命
白凝冰,confirmed,290.6,3902,397,9,2286,南疆,白凝 / 白凝冰 / 凝冰 / 和白凝冰 / 对着白凝冰 / 源对白凝冰 / 白凝冰啊 / 白凝冰的冰 / 着白凝冰的 / 下了白凝冰 / 倒是白凝冰 / 凝冰的咆哮 / 刻白凝冰 / 受到白凝冰 / 叮嘱白凝冰 / 唯有白凝冰 / 头对白凝冰 / 对白凝冰 / 来白凝冰的 / 来的白凝冰 / 白凝冰呢 / 白凝冰的蛊师 / 看来白凝冰 / 类似白凝冰 / 身对白凝冰,样的天才出现了。”“不错，白家寨、熊家寨这些年都有天才涌现。尤其是白家的白凝冰，天资真是恐怖。”不知是谁，提及到白凝冰这个名字，众家老的脸上不由地浮
气海老祖,confirmed,269.6,1622,122,1665,2360,东海,气海 / 气海老祖 / 是气海老祖 / 让气海 / 让气海老祖 / 是气海 / 帅和气海老祖 / 和气海老祖 / 招揽气海老祖 / 和气海 / 位气海老祖 / 演的气海老祖 / 要和气海老祖 / 给了气海老祖 / 对气海老祖 / 就是气海老祖 / 是被气海老祖 / 毕竟气海老祖 / 知道气海老祖 / 管是气海老祖 / 拜见气海老祖 / 对付气海老祖 / 位气海 / 住了气海老祖 / 到了气海老祖 / 只有气海老祖 / 只要气海老祖 / 听到气海老祖 / 在气海 / 在气海老祖 / 对气海 / 帮助气海老祖 / 正是气海老祖 / 看着气海老祖 / 眼下气海老祖 / 至于气海老祖 / 见到气海老祖 / 邀请气海老祖 / 上的气海老祖 / 不了气海老祖 / 个气海老祖 / 么和气海老祖 / 以及气海老祖 / 们和气海老祖 / 倒是气海老祖 / 借助气海老祖 / 击中气海老祖 / 利用气海老祖 / 助了气海老祖 / 单凭气海老祖 / 号称气海老祖 / 地将气海老祖 / 就将气海老祖 / 就是气海 / 层气海老祖 / 引来气海老祖 / 想到气海老祖 / 挑战气海老祖 / 既然气海老祖 / 时的气海老祖 / 是和气海 / 是和气海老祖 / 是对气海老祖 / 是被气海 / 来到气海老祖 / 次气海老祖 / 看向气海老祖 / 眼气海老祖 / 笼络气海老祖 / 联络气海老祖 / 虏了气海老祖 / 虽然气海老祖 / 装成气海老祖 / 装的气海老祖 / 解了气海老祖 / 还是气海老祖 / 远比气海老祖 / 配合气海老祖 / 针对气海老祖 / 镇压气海老祖 / 除了气海老祖 / 非气海老祖 / 不给气海老祖 / 劝说气海老祖 / 困住气海老祖 / 帅战气海老祖 / 还请气海 / 还请气海老祖 / 通知气海老祖 / 上是气海老祖 / 下了气海老祖 / 下气海老祖 / 下的气海老祖 / 不出气海老祖 / 不及气海老祖 / 不和气海老祖 / 不怕气海老祖 / 不知气海老祖 / 不过气海老祖 / 个找气海老祖 / 为送气海老祖 / 么气海老祖 / 也在气海老祖 / 也学气海老祖 / 了将气海老祖 / 了气海老祖 / 了看气海老祖 / 事关气海老祖 / 交好气海老祖 / 交给气海 / 交给气海老祖 / 仅为气海老祖 / 仅是气海老祖 / 仇和气海老祖 / 今后气海老祖 / 今气海老祖 / 从气海老祖 / 他以气海老祖 / 他向气海老祖 / 他把气海老祖 / 他气海老祖 / 令气海老祖 / 们对气海老祖 / 会像气海老祖 / 会气海老祖 / 传出气海老祖 / 传讯气海老祖 / 传音气海老祖 / 你用气海老祖 / 便对气海老祖 / 促使气海老祖 / 俯视气海老祖 / 偏偏气海老祖 / 偏是气海老祖 / 克制气海老祖 / 免和气海老祖 / 全赖气海老祖 / 公和气海老祖 / 公见气海老祖 / 共举气海老祖 / 共推气海老祖 / 冲向气海老祖 / 况且气海老祖 / 出了气海老祖 / 出令气海老祖 / 刚从气海老祖 / 创建气海老祖 / 利诱气海老祖 / 前和气海老祖 / 力压气海老祖 / 力的气海老祖 / 劝和气海老祖 / 劝的气海老祖 / 加入气海老祖 / 加大气海老祖 / 动请气海老祖 / 助气海老祖 / 化身气海老祖 / 单单气海老祖 / 单靠气海老祖 / 卖好气海老祖 / 即对气海老祖 / 即将气海老祖 / 卷席气海老祖 / 压了气海老祖 / 原来气海老祖 / 去了气海老祖 / 参见气海老祖 / 反借气海老祖 / 反观气海老祖 / 受到气海老祖 / 变作气海老祖 / 可将气海老祖 / 可谓气海老祖 / 后将气海老祖 / 向气海老祖 / 含的气海老祖 / 听了气海老祖 / 听闻气海老祖 / 告知气海老祖 / 告诉气海老祖 / 哄着气海老祖 / 四气海老祖 / 回应气海老祖 / 因此气海老祖 / 围攻气海老祖 / 在了气海老祖 / 地向气海老祖 / 声听气海老祖 / 处的气海老祖 / 够和气海老祖 / 大战气海老祖 / 奉给气海老祖 / 威胁气海老祖 / 完克气海老祖 / 害怕气海老祖 / 对于气海老祖 / 对付气海 / 对的气海老祖 / 寻求气海老祖 / 射向气海老祖 / 尊敬气海老祖 / 就了气海老祖 / 就令气海老祖 / 就像气海老祖 / 就看气海老祖 / 就算气海老祖 / 就被气海老祖 / 届时气海老祖 / 属于气海老祖 / 己和气海老祖 / 帅在气海老祖 / 师和气海老祖 / 希望气海老祖 / 帮衬气海老祖 / 并且气海老祖 / 庭和气海老祖 / 归于气海老祖 / 归属气海老祖 / 当下气海老祖 / 当卖气海老祖 / 当是气海老祖 / 待着气海老祖 / 得到气海老祖 / 必被气海老祖 / 忌惮气海老祖 / 忽视气海老祖 / 性对气海老祖 / 怪气海老祖 / 惜被气海老祖 / 想把气海老祖 / 想让气海老祖 / 惹得气海老祖 / 成了气海老祖 / 成的气海老祖 / 我和气海老祖 / 或者气海老祖 / 打到气海老祖 / 打死气海老祖 / 打量气海老祖 / 托在气海老祖 / 扮演气海老祖 / 扯了气海老祖 / 找那气海老祖 / 投向气海老祖 / 投降气海老祖 / 投靠气海老祖 / 护的气海老祖 / 抱上气海老祖 / 抱住气海老祖 / 抵挡气海老祖 / 押解气海老祖 / 拉拢气海老祖 / 拉着气海老祖 / 拒绝气海老祖 / 拥护气海老祖 / 择和气海老祖 / 拿了气海老祖 / 指出气海老祖 / 挡住气海老祖 / 挡在气海老祖 / 捉了气海老祖 / 掌控气海老祖 / 控了气海老祖 / 推举气海老祖 / 掩护气海老祖 / 援到气海老祖 / 援助气海老祖 / 揽过气海老祖 / 摄了气海老祖 / 撞向气海老祖 / 放在气海老祖 / 敬请气海老祖 / 敬重气海老祖 / 方以气海老祖 / 旦让气海老祖 / 明了气海老祖 / 是以气海老祖 / 是有气海老祖 / 是让气海老祖 / 暗示气海老祖 / 望着气海老祖 / 本体气海老祖 / 杀了气海老祖 / 杀得气海老祖 / 杀死气海老祖 / 来战气海老祖 / 来找气海老祖 / 来看气海老祖 / 来请气海老祖 / 次以气海老祖 / 次是气海老祖 / 比如气海老祖 / 比较气海老祖 / 没向气海老祖 / 法对气海老祖 / 派的气海老祖 / 源以气海老祖 / 源和气海老祖 / 满足气海老祖 / 演着气海老祖 / 然是气海老祖 / 然而气海老祖 / 然被气海老祖 / 照着气海老祖 / 熟悉气海老祖 / 牺牲气海老祖 / 猜到气海老祖 / 现出气海老祖 / 番和气海老祖 / 疑过气海老祖 / 白了气海老祖 / 的对气海老祖 / 盘在气海老祖 / 目前气海老祖 / 盯着气海老祖 / 直取气海老祖 / 直唯气海老祖 / 看到气海老祖 / 看来气海老祖 / 看看气海老祖 / 着他气海老祖 / 着和气海老祖 / 知了气海老祖 / 知到气海老祖 / 知晓气海老祖 / 砸向气海老祖 / 神对气海老祖 / 稳住气海老祖 / 空的气海老祖 / 突袭气海老祖 / 立的气海老祖 / 竟和气海老祖 / 竟有气海老祖 / 管对气海老祖 / 系住气海老祖 / 纵然气海老祖 / 纷向气海老祖 / 经从气海老祖 / 经将气海老祖 / 经被气海老祖 / 给予气海老祖 / 绝非气海老祖 / 绽被气海老祖 / 缚住气海老祖 / 缠住气海老祖 / 罩住气海老祖 / 罪了气海老祖 / 老夫气海老祖 / 能和气海老祖 / 自于气海老祖 / 至将气海老祖 / 至让气海老祖 / 苦劝气海老祖 / 莫非气海老祖 / 获了气海老祖 / 菱对气海老祖 / 菱见气海老祖 / 落到气海老祖 / 藏在气海老祖 / 虑到气海老祖 / 要把气海老祖 / 觉得气海老祖 / 让开气海老祖 / 证了气海老祖 / 诉他气海老祖 / 询问气海老祖 / 诱惑气海老祖 / 说你气海老祖 / 说得气海老祖 / 说明气海老祖 / 请求气海老祖 / 赖着气海老祖 / 赞赏气海老祖 / 赠与气海老祖 / 赠给气海老祖 / 走了气海老祖 / 走进气海老祖 / 超出气海老祖 / 足在气海老祖 / 身气海老祖 / 转见气海老祖 / 达到气海老祖 / 近到气海老祖 / 还将气海老祖 / 还有气海老祖 / 还用气海老祖 / 进攻气海老祖 / 违气海老祖 / 述了气海老祖 / 送去气海老祖 / 送给气海老祖 / 通敌气海老祖 / 逼近气海老祖 / 道了气海老祖 / 道因气海老祖 / 道的气海老祖 / 道这气海老祖 / 都对气海老祖 / 都被气海老祖 / 酬劳气海老祖 / 钻入气海老祖 / 阻挠气海老祖 / 降低气海老祖 / 靠了气海老祖 / 面令气海老祖 / 领着气海老祖 / 飞到气海老祖 / 飞送气海老祖 / 高于气海老祖 / 龙和气海老祖,酝酿着。与此同时，戚平素就身在云海中央，望着气海天灵出现，他狂喜地道：“气海天灵，你居然苏醒了！真是太及时了。”气海天灵浑身雪白，乃是一头幼鹿的模样
绿蚁居士,confirmed,269.02,46,7,1851,2164,中洲,绿蚁居士 / 乃是绿蚁居士 / 成为绿蚁居士 / 自从绿蚁居士 / 中对绿蚁居士 / 他将绿蚁居士 / 包含绿蚁居士 / 参加绿蚁居士 / 又被绿蚁居士 / 可是绿蚁居士 / 名号绿蚁居士 / 在绿蚁居士 / 堂堂绿蚁居士 / 师父绿蚁居士 / 底和绿蚁居士 / 意图绿蚁居士 / 承了绿蚁居士 / 拜见绿蚁居士 / 时的绿蚁居士 / 是绿蚁居士 / 源于绿蚁居士 / 皆是绿蚁居士 / 竞争绿蚁居士 / 算是绿蚁居士 / 自称绿蚁居士 / 蚁是绿蚁居士 / 辈是绿蚁居士,，已经登堂入室，接下来为父已经替你做了安排，参加绿蚁居士的收徒大典。”“绿蚁居士？”方源故作不解，心中却是恍然，联想起一个名号——居易仙侣。这两人乃是夫
明皓仙子,confirmed,257.1,94,15,2182,2231,中洲,明皓仙子 / 位的明皓仙子 / 不倒明皓仙子 / 乃是明皓仙子 / 位明皓仙子 / 出了明皓仙子 / 到了明皓仙子 / 号称明皓仙子 / 向明皓仙子 / 和明皓仙子 / 对明皓仙子 / 就是明皓仙子 / 就被明皓仙子 / 抵御明皓仙子 / 方源明皓仙子 / 是被明皓仙子 / 绕开明皓仙子 / 能和明皓仙子 / 要是明皓仙子 / 见过明皓仙子 / 面对明皓仙子 / 面是明皓仙子 / 顶着明皓仙子,第一百九十三节：明皓仙子第一百九十三节：明皓仙子“所以说嘛，我推算的没有错。只要照旧就好了。”天极子盖槑喝着美酒，吃着花
万寿娘子,confirmed,255.46,13,8,830,1299,北原,万寿娘子 / 了万寿娘子,更是死伤惨重。“这就是方寸山了？”这时，一位女仙，从后面缓步走出。她号称万寿娘子，乃是雪胡老祖之妻，七转修为，北原四大炼道蛊仙之一。她一出现，就将目光投
